,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
3401,2020-04-30 14:00:00,"due to heavy traffic , hiram's highway both bounds are busy. motorists passing through the above section of road are advised to drive with utmost care and patience. ",heavy traffic,hiram's highway,,updated,1,
3402,2020-04-30 16:20:00,the slow lane of gascoigne road nathan road bound near kansu street which was closed due to watermain burst is re-opened to all traffic. ,watermain burst,gascoigne road,nathan road,new,kansu street,
3403,2020-04-30 17:24:36,traffic at hiram's highway both bounds has gradually resumed normal. ,heavy traffic,hiram's highway,,updated,1,
3404,2020-05-01 13:53:00,"due to traffic accident , the only lane of the slip road leading from tuen mun road tuen mun bound to sham tseng near rhine garden is closed to all traffic. traffic is busy now. ",traffic accident,tuen mun road,tuen mun,new,rhine garden,
3405,2020-05-01 14:24:00,the only lane of the slip road leading from tuen mun road tuen mun bound to sham tseng near rhine garden which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tuen mun road,tuen mun,updated,rhine garden,
3406,2020-05-01 19:05:00,"due to traffic accident , part of the lanes of island eastern corridor causeway bay bound near quarry bay park are closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,island eastern corridor,causeway bay,new,quarry bay park,
3407,2020-05-01 20:00:00,part of the lanes of island eastern corridor causeway bay bound near quarry bay park which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,island eastern corridor,causeway bay,updated,quarry bay park,
3408,2020-05-01 21:33:00,"due to traffic accident , part of the lanes of tuen mun road tsuen wan bound near chu hai college of higher education is closed to all traffic. only remaining lane(s) are still available to motorists. traffic is busy now. ",traffic accident,tuen mun road,tsuen wan,new,chu hai college of higher education,
3409,2020-05-01 21:36:00,part of the lanes of tuen mun road tsuen wan bound near chu hai college of higher education which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tuen mun road,tsuen wan,updated,chu hai college of higher education,
3410,2020-05-02 09:25:00,"due to watermain burst , the one-lane-two-way traffic arrangement is now implemented on wan tau street both bounds near tai po complex. ",watermain burst,wan tau street,,new,tai po complex,
3411,2020-05-02 09:41:00,"due to vehicle breakdown , the tunnel tube slow lane of cross harbour tunnel hong kong island bound is closed to all traffic.  only remaining lane(s) is still available to motorists. ",vehicle breakdown,cross harbour tunnel,hong kong island,new,,
3412,2020-05-02 09:49:00,"due to traffic accident , part of the lanes of tai chung kiu road ma on shan bound near fo tan road is closed to all traffic. only remaining lane(s) is still available to motorists. ",traffic accident,tai chung kiu road,ma on shan,new,fo tan road,
3413,2020-05-02 09:53:00,the slow lane of cross harbour tunnel hong kong island bound which was closed due to vehicle breakdown is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,vehicle breakdown,cross harbour tunnel,hong kong island,closed,,
3414,2020-05-02 10:28:00,"due to suspected gas leakage , all lanes of chun yeung street eastbound are closed to all traffic. motorists are advised to use alternative routes. ",suspected gas leakage,chun yeung street,eastbound,new,,
3415,2020-05-02 11:27:00,part of the lanes of tai chung kiu road ma on shan bound near fo tan road which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,tai chung kiu road,ma on shan,closed,fo tan road,
3416,2020-05-02 11:44:00,"due to vehicle breakdown , the slow lane of west kowloon corridor mei foo bound near west kowloon law courts building is closed to all traffic. only remaining lane(s) is still available to motorists. ",vehicle breakdown,west kowloon corridor,mei foo,new,west kowloon law courts building,
3417,2020-05-02 11:57:00,"due to traffic accident , part of the lanes of lung cheung road kwai chung bound near phoenix house is closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on lung cheung road kwai chung bound ends at tin ma court. traffic is busy now. ",traffic accident,lung cheung road,kwai chung,new,phoenix house,
3418,2020-05-02 12:16:00,the one-lane-two-way traffic arrangement which was implemented on wan tau street both bounds near tai po complex due to watermain burst is now cancelled. ,watermain burst,wan tau street,,updated,tai po complex,
3419,2020-05-02 12:22:00,the slow lane of west kowloon corridor mei foo bound near west kowloon law courts building which was closed due to vehicle breakdown is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,vehicle breakdown,west kowloon corridor,mei foo,updated,west kowloon law courts building,
3420,2020-05-02 12:29:00,part of the lanes of lung cheung road kwai chung bound near phoenix house which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,lung cheung road,kwai chung,updated,phoenix house,
3421,2020-05-02 12:44:00,"due to traffic accident, all lanes of sheung heung road both bounds between pau chung street and kowloon city road are closed to all traffic. motorists are advised to use alternative routes. ",traffic accident,,,new,,
3422,2020-05-02 13:17:00,all lanes of sheung heung road both bounds between pau chung street and kowloon city road which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,sheung heung road,,updated,,
3423,2020-05-02 15:54:00,"due to traffic accident , the slow lane of ching cheung road tsuen wan bound near caritas medical centre is closed to all traffic. only the fast and middle lanes are still available to motorists. traffic is busy now. ",traffic accident,ching cheung road,tsuen wan,new,caritas medical centre,
3424,2020-05-02 16:51:00,"due to heavy traffic, nathan road near prince edward road west and mong kok road is busy. motorists passing through the above sections of road are advised to drive with utmost care and patience. ",heavy traffic,,,new,,
3425,2020-05-02 17:05:00,"due to traffic accident , part of the lanes of island eastern corridor north point bound near harbour heights is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,island eastern corridor,north point,new,harbour heights,
3426,2020-05-02 17:31:00,part of the lanes of island eastern corridor north point bound near harbour heights which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,island eastern corridor,north point,closed,harbour heights,
3427,2020-05-02 18:06:00,"due to traffic accident , the lane no. 4 of kwun tong road yau tong bound near kai yip estate is closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on kwun tong road yau tong bound ends at lung cheung road near hammer hill road.   traffic is congested now. ",traffic accident,kwun tong road,yau tong,new,kai yip estate,
3428,2020-05-02 18:10:00,all lanes of chun yeung street which was closed due to suspected gas leakage is re-opened to all traffic. ,suspected gas leakage,chun yeung street,eastbound,updated,,
3429,2020-05-02 18:44:00,traffic at nathan road near prince edward road west and mong kok road has resumed normal. ,heavy traffic,nathan road near prince edward road west and mong kok road,,updated,,
3430,2020-05-02 19:07:00,the lane no. 4 of kwun tong road yau tong bound near kai yip estate which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,kwun tong road,yau tong,updated,kai yip estate,
3431,2020-05-03 10:34:00,all lanes of choi shek lane both bounds which was closed due to suspicious object found is re-opened to all traffic. ,suspicious object found,choi shek lane,,closed,,
3432,2020-05-03 13:19:00,"due to traffic accident , part of the lanes of hung tin road tin shui wai bound near yuen long highway is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,hung tin road,tin shui wai,new,yuen long highway,
3433,2020-05-03 15:13:00,part of the lanes of hung tin road tin shui wai bound near yuen long highway which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,hung tin road,tin shui wai,updated,yuen long highway,
3434,2020-05-03 22:15:00,"due to watermain burst , the slow lane of che kung miu road ma on shan bound near che kung temple mtr station is closed to all traffic. only remaining lane(s) is still available to motorists. ",watermain burst,che kung miu road,ma on shan,new,che kung temple mtr station,
3435,2020-05-04 08:29:00,"due to traffic accident , the fast lane of sha tin road lion rock tunnel bound near pok hong estate is closed to all traffic. only the slow lane is still available to motorists. traffic is busy now. ",traffic accident,sha tin road,lion rock tunnel,new,pok hong estate,
3436,2020-05-04 08:41:00,"due to traffic accident , the fast lane of sha tin road lion rock tunnel bound near pok hong estate is still closed to all traffic. only the slow lane is still available to motorists. traffic queue on sha tin road lion rock tunnel bound ends at prince of wales hospital. traffic is congested now. ",traffic accident,sha tin road,lion rock tunnel,updated,pok hong estate,
3437,2020-05-04 09:02:00,the fast lane of sha tin road lion rock tunnel bound near pok hong estate which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,sha tin road,lion rock tunnel,updated,pok hong estate,
3438,2020-05-04 09:14:00,the fast lane of tuen mun road tuen mun bound near sham tseng which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,tuen mun road,tuen mun,updated,sham tseng,
3439,2020-05-04 10:08:00,"due to traffic accident , the fast lane of lung cheung road tsuen wan bound near lion rock tunnel road is closed to all traffic.  only the middle and slow lanes are still available to motorists.   traffic is busy now. ",traffic accident,lung cheung road,tsuen wan,new,lion rock tunnel road,
3440,2020-05-04 10:08:00,"due to vehicle breakdown , the fast lane of lung cheung road tsuen wan bound near lion rock tunnel road is closed to all traffic.  only the middle and slow lanes is still available to motorists.   traffic queue on lung cheung road tsuen wan bound ends at wong tai sin mtr station.   traffic is congested now. ",vehicle breakdown,lung cheung road,tsuen wan,updated,lion rock tunnel road,
3441,2020-05-04 10:49:00,the fast lane of lung cheung road tsuen wan bound near lion rock tunnel road which was closed due to vehicle breakdown is re-opened to all traffic. traffic queue takes time to disperse. ,vehicle breakdown,lung cheung road,tsuen wan,closed,lion rock tunnel road,
3442,2020-05-04 13:33:00,"due to traffic accident , part of the lanes of lung cheung road kwun tong bound near wong tai sin plaza is closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on lung cheung road kwun tong bound ends at tin ma court.   traffic is congested now. ",traffic accident,lung cheung road,kwun tong,new,wong tai sin plaza,
3443,2020-05-04 13:45:00,"due to traffic accident , the middle and slow lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. only the fast lane is still available to motorists. traffic queue on lung cheung road kwun tong bound ends at lion rock tunnel road. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3444,2020-05-04 13:53:00,"due to traffic accident , the middle and slow lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. only the fast lane is still available to motorists. traffic queue on lung cheung road kwun tong bound ends at phoenix house. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3445,2020-05-04 14:23:00,"due to traffic accident , the middle and slow lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. only the fast lane is still available to motorists. traffic queue on lung cheung road kwun tong bound ends at beacon heights. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3446,2020-05-04 14:44:00,"due to traffic accident , the fast lane of tuen mun road tuen mun bound near sea crest villa is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tuen mun road,tuen mun,new,sea crest villa,
3447,2020-05-04 14:54:00,"due to traffic accident , the middle and slow lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. only the fast lane is still available to motorists. traffic queue on lung cheung road kwun tong bound ends at ching cheung road near so uk. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3448,2020-05-04 15:39:00,"due to traffic accident , all lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. traffic queue on lung cheung road kwun tong bound ends at ching cheung road near so uk. motorists are advised to use alternative routes. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3449,2020-05-04 15:46:00,"due to traffic accident, intermittent closure is in effect at lung cheung road kwun tong bound near wong tai sin plaza. traffic queue on lung cheung road kwun tong bound ends at ching cheung road near so uk. motorists are advised to use alternative routes. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3450,2020-05-04 16:56:00,"due to traffic accident , all lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. traffic queue on lung cheung road kwun tong bound ends at ching cheung road near caritas medical centre. motorists are advised to use alternative routes. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3451,2020-04-24 18:52:00,"due to traffic accident , the middle lane of lung cheung road kwun tong bound near elizabethan court is still closed to all traffic. only the fast and slow lanes are still available to motorists. traffic queue on lung cheung road kwun tong bound ends at so uk estate. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,elizabethan court,
3452,2020-04-26 08:00:00,"lo wu and lok ma chau stations on the east rail line are closed. train service between hung hom and sheung shui stations remains normal. besides, racecourse station is closed today and trains will not stop at this station. please plan your journey accordingly. ",train technical fault,east rail line service disruption,,updated,,
3453,2020-04-27 09:46:00,"due to vehicle breakdown , the slow lane of tai po road - sha tin kowloon bound near sha tin racecourse is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,tai po road - sha tin,kowloon,new,sha tin racecourse,
3454,2020-05-04 17:19:00,"due to traffic accident , all lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. traffic queue on lung cheung road kwun tong bound ends at ching cheung road near dragon industrial building. motorists are advised to use alternative routes. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3455,2020-05-04 17:38:00,"due to traffic accident , the middle and slow lanes of lung cheung road kwun tong bound near wong tai sin plaza are still closed to all traffic. only the fast lane is still available to motorists. traffic queue on lung cheung road kwun tong bound ends at ching cheung road near butterfly valley. motorists are advised to use alternative routes. traffic is seriously congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3456,2020-05-04 17:54:00,"due to traffic accident , the slow lane of lung cheung road kwun tong bound near wong tai sin plaza is still closed to all traffic. only the fast and middle lanes are still available to motorists. traffic queue on lung cheung road kwun tong bound ends at ching cheung road near butterfly valley. motorists are advised to use alternative routes. traffic is seriously congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3457,2020-05-04 18:19:00,"due to traffic accident , the slow lane of lung cheung road kwun tong bound near wong tai sin plaza is still closed to all traffic. only the fast and middle lanes are still available to motorists. traffic queue on lung cheung road kwun tong bound ends at lung cheung road near chak on estate. traffic is congested now. ",traffic accident,lung cheung road,kwun tong,updated,wong tai sin plaza,
3458,2020-05-04 18:27:00,the slow lane of lung cheung road kwun tong bound near wong tai sin plaza which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,lung cheung road,kwun tong,closed,wong tai sin plaza,
3459,2020-05-04 20:47:00,"due to traffic accident , the slow lane of island eastern corridor chai wan bound near hoi yu street is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,island eastern corridor,chai wan,new,hoi yu street,
3460,2020-05-04 21:18:00,the slow lane of island eastern corridor chai wan bound near hoi yu street which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,island eastern corridor,chai wan,updated,hoi yu street,
3461,2020-05-05 07:46:00,"due to vehicle breakdown , the slow lane of tai po road - sha tin kowloon bound near wai wah centre is closed to all traffic. only the fast and middle lanes are still available to motorists. traffic is busy now. ",vehicle breakdown,tai po road - sha tin,kowloon,new,wai wah centre,
3462,2020-05-05 07:52:00,the slow lane of tai po road - sha tin kowloon bound near wai wah centre which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tai po road - sha tin,kowloon,updated,wai wah centre,
3463,2020-05-05 07:57:00,"due to traffic accident , the fast lane of lung cheung road kwai chung bound near wong tai sin plaza is closed to all traffic.  only the middle and slow lanes are still available to motorists.   traffic is busy now. ",traffic accident,lung cheung road,kwai chung,new,wong tai sin plaza,
3464,2020-05-05 08:21:00,"due to traffic accident , the fast lane of lung cheung road kwai chung bound near wong tai sin plaza is still closed to all traffic. only the middle and slow lanes are still available to motorists. traffic queue on lung cheung road kwai chung bound ends at hammer hill road. traffic is congested now. ",traffic accident,lung cheung road,kwai chung,updated,wong tai sin plaza,
3465,2020-05-05 08:26:00,the fast lane of lung cheung road kwai chung bound near wong tai sin plaza which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,lung cheung road,kwai chung,updated,wong tai sin plaza,
3466,2020-05-05 09:01:00,"due to traffic accident , the slow lane of tai po road - sha tin kowloon bound near fo tan mtr station is closed to all traffic. only the fast lane is still available to motorists. traffic queue on tai po road - sha tin kowloon bound ends at sha tin sewage treatment works. traffic is congested now. ",traffic accident,tai po road - sha tin,kowloon,new,fo tan mtr station,
3467,2020-05-05 09:09:00,the slow lane of tai po road - sha tin kowloon bound near fo tan mtr station which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,tai po road - sha tin,kowloon,updated,fo tan mtr station,
3468,2020-05-05 09:13:00,"due to traffic accident , the fast lane of tsuen wan road kowloon bound near kwai chung park is closed to all traffic. only the middle and slow lanes are still available to motorists. traffic queue on tsuen wan road kowloon bound ends at cable tv tower. traffic is congested now. ",traffic accident,tsuen wan road,kowloon,new,kwai chung park,
3469,2020-05-05 09:29:00,"due to traffic accident , the fast lane of tsuen wan road kowloon bound near kwai chung park is still closed to all traffic. only the middle and slow lanes are still available to motorists. traffic queue on tsuen wan road kowloon bound ends at belvedere garden. traffic is congested now. ",traffic accident,tsuen wan road,kowloon,updated,kwai chung park,
3470,2020-05-05 09:32:00,the fast lane of tsuen wan road kowloon bound near kwai chung park which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,tsuen wan road,kowloon,updated,kwai chung park,
3471,2020-05-05 10:35:00,"due to vehicle breakdown , the slow lane of lung cheung road flyover kwai chung bound near ping shek estate is closed to all traffic. only the fast lane is still available to motorists. traffic is busy now. ",vehicle breakdown,lung cheung road,kwai chung,new,ping shek estate,
3472,2020-05-05 10:54:00,"due to vehicle breakdown , the slow lane of lung cheung road flyover kwai chung bound near ping shek estate is still closed to all traffic. only the fast lane is still available to motorists. traffic queue on lung cheung road kwai chung bound ends at wai yip street flyover. traffic is congested now. ",vehicle breakdown,lung cheung road,kwai chung,updated,ping shek estate,
3473,2020-05-05 11:24:00,the slow lane of lung cheung road flyover kwai chung bound near ping shek estate which was closed due to vehicle breakdown is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,vehicle breakdown,lung cheung road,kwai chung,updated,ping shek estate,
3474,2020-05-05 12:54:00,"due to person in dangerous position, all lanes of connaught road central sheung wan bound near exchange square are closed to all traffic.   motorists are advised to use alternative routes.   traffic is busy now. ",person in danger position,connaught road central,sheung wan,new,exchange square,
3475,2020-05-05 13:06:00,"due to person in danger position, all lanes of connaught road central sheung wan bound near exchange square are still closed to all traffic. traffic queue on connaught road central sheung wan bound ends at the hong kong academy for performing arts. motorists are advised to use alternative routes. traffic is congested now. ",person in danger position,connaught road central,sheung wan,updated,exchange square,
3476,2020-05-05 13:28:00,"due to person in danger position, all lanes of connaught road central sheung wan bound near exchange square are still closed to all traffic. affected bus route(s) has(have) been diverted. traffic queue on connaught road central sheung wan bound ends at fleming road. motorists are advised to use alternative routes. traffic is very congested now. ",person in danger position,connaught road central,sheung wan,updated,exchange square,
3477,2020-05-05 13:55:00,"due to person in danger position, all lanes of connaught road central sheung wan bound near exchange square are still closed to all traffic. traffic queue on connaught road central sheung wan bound ends at fleming road. motorists are advised to use alternative routes. the following affected bus routes services have been diverted: hong kong island routes：5x, 7, 11, 71, 780, 788 cross harbour routes：115, 603, 619, 673, 690 traffic is very congested now. ",person in danger position,connaught road central,sheung wan,updated,exchange square,
3478,2020-05-05 14:16:00,all lanes of connaught road central sheung wan bound near exchange square which was closed due to person in danger position is re-opened to all traffic. traffic queue takes time to disperse. ,person in danger position,connaught road central,sheung wan,updated,exchange square,
3479,2020-05-05 16:25:00,"due to traffic accident , the fast lane of tuen mun road kowloon bound near hung kiu is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tuen mun road,kowloon,new,hung kiu,
3480,2020-05-05 16:34:00,"due to traffic accident , the slip road leading from tseung kwan o road to sau mau ping is closed to all traffic.   traffic is busy now. ",traffic accident,tseung kwan o road,,new,,
3481,2020-05-05 16:38:00,"due to vehicle on fire , the slow lane of tuen mun road kowloon bound near chi lok fa yuen is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,new,chi lok fa yuen,
3482,2020-05-05 16:49:00,"due to vehicle on fire , all lanes of tuen mun road kowloon bound near chi lok fa yuen are closed to all traffic. motorists are advised to use alternative routes. traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3483,2020-05-05 16:54:00,the slip road leading from tseung kwan o road to sau mau ping which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tseung kwan o road,,updated,,
3484,2020-05-05 17:11:00,"due to vehicle on fire , the middle and slow lanes of tuen mun road kowloon bound near chi lok fa yuen are closed to all traffic. only the fast lane is still available to motorists. traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3485,2020-05-05 17:11:00,"due to vehicle on fire , the middle and slow lanes of tuen mun road kowloon bound near chi lok fa yuen are still closed to all traffic. only the fast lane is still available to motorists. traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3486,2020-05-05 17:11:00,"due to vehicle on fire, the middle lane and slow lane of tuen mun road kowloon bound near chi lok fa yuen, and the slip road leading from tuen hing road to tuen mun road are still closed to all traffic. only the fast lane of tuen mun road kowloon bound near chi lok fa yuen is still available to motorists. traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3487,2020-05-05 17:39:00,the fast lane of tuen mun road kowloon bound near hung kiu which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,tuen mun road,kowloon,updated,hung kiu,
3488,2020-05-05 17:42:00,"due to vehicle on fire, the slow lane of tuen mun road kowloon bound near chi lok fa yuen, and the slip road leading from tuen hing road to tuen mun road are still closed to all traffic. only the middle lane and fast lane of tuen mun road kowloon bound near chi lok fa yuen are still available to motorists. traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3489,2020-05-05 17:42:00,"due to vehicle on fire, the slow lane of tuen mun road near chi lok fa yuen kowloon bound, and the slip road leading from tuen hing road to tuen mun road are still closed to all traffic. only the middle lane and fast lane of tuen mun road near chi lok fa yuen kowloon bound are still available to motorists. traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3490,2020-05-05 18:16:00,"due to traffic accident , the fast and middle lanes of tuen mun road tuen mun bound near on ting estate is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",traffic accident,tuen mun road,tuen mun,new,on ting estate,
3491,2020-05-05 18:26:53,the fast and middle lanes of tuen mun road tuen mun bound near on ting estate which were closed due to traffic accident are re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,tuen mun road,tuen mun,updated,on ting estate,
3492,2020-05-05 19:32:00,"due to vehicle breakdown , the fast lane of tseung kwan o road tseung kwan o bound near clp power hong kong limited tseung kwan o road substation is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,tseung kwan o road,tseung kwan o,new,clp power hong kong limited tseung kwan o road substation,
3493,2020-05-05 20:03:00,"due to vehicle on fire, the slow lane of tuen mun road near chi lok fa yuen kowloon bound, and the slip road leading from tuen hing road to tuen mun road are still closed to all traffic. only the middle lane and fast lane of tuen mun road near chi lok fa yuen kowloon bound are still available to motorists. only the fast lane is still available to motorists. the following affected bus routes services have been diverted: kowloon / new territories routes: 67x, 67m traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3494,2020-05-05 20:03:00,"due to vehicle on fire, the slow lane of tuen mun road near chi lok fa yuen kowloon bound, and the slip road leading from tuen hing road to tuen mun road are still closed to all traffic. only the middle lane and fast lane of tuen mun road near chi lok fa yuen kowloon bound are still available to motorists. the following affected bus routes services have been diverted: new territories routes: 67x, 67m traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3495,2020-05-05 20:03:00,"due to vehicle on fire, the slow lane of tuen mun road near chi lok fa yuen kowloon bound, and the slip road leading from tuen hing road to tuen mun road are still closed to all traffic. only the middle lane and fast lane of tuen mun road near chi lok fa yuen kowloon bound are still available to motorists. the following affected bus routes services have been diverted: kowloon / new territories routes: 67x, 67m traffic is busy now. ",vehicle on fire,tuen mun road,kowloon,updated,chi lok fa yuen,
3496,2020-05-05 20:12:00,the fast lane of tseung kwan o road tseung kwan o bound near clp power hong kong limited tseung kwan o road substation which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tseung kwan o road,tseung kwan o,updated,clp power hong kong limited tseung kwan o road substation,
3497,2020-05-06 06:05:00,"the slow lane of tuen mun road near chi lok fa yuen kowloon bound, and the slip road leading from tuen hing road to tuen mun road which were closed due to vehicle on fire are re-opened to all traffic. ",vehicle on fire,tuen mun road,kowloon,new,chi lok fa yuen,
3498,2020-05-06 06:43:00,the slow lane of che kung miu road ma on shan bound near che kung temple mtr station which was closed due to watermain burst is re-opened to all traffic. ,watermain burst,che kung miu road,ma on shan,new,che kung temple mtr station,
3499,2020-05-06 07:46:00,"due to traffic accident , all lanes of texaco road flyover both bounds near tai wo hau road are closed to all traffic. motorists are advised that texaco road or alternative routes could be used. traffic is busy now. ",traffic accident,texaco road flyover,,new,tai wo hau road,
3500,2020-05-06 08:15:00,"due to traffic accident , part of the lanes of texaco road both bounds near tai wo hau road are still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on texaco road tsing yi bound ends at tsuen kam interchange.   traffic is congested now. ",traffic accident,texaco road,,updated,tai wo hau road,
3501,2020-05-06 08:16:00,"due to traffic accident , the fast lane of lung cheung road kwai chung bound near lung cheung road lookout is closed to all traffic. only the middle and slow lanes are still available to motorists. traffic is busy now. ",traffic accident,lung cheung road,kwai chung,new,lung cheung road lookout,
3502,2020-05-06 08:15:00,"due to traffic accident , part of the lanes of texaco road both bounds near tai wo hau road are still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on texaco road tsing yi bound ends at tsuen kam interchange. traffic is congested now. ",traffic accident,texaco road,,updated,tai wo hau road,
3503,2020-05-06 08:30:00,"due to traffic accident , the fast lane of lung cheung road kwai chung bound near lung cheung road lookout is still closed to all traffic. only the middle and slow lanes are still available to motorists. traffic queue on lung cheung road kwai chung bound ends at chuk yuen road. traffic is congested now. ",traffic accident,lung cheung road,kwai chung,updated,lung cheung road lookout,
3504,2020-05-06 08:41:00,"due to traffic accident , the fast lane of lung cheung road kwai chung bound near lung cheung road lookout is still closed to all traffic. only the middle and slow lanes are still available to motorists. traffic queue on lung cheung road kwai chung bound ends at po kong village road. traffic is congested now. ",traffic accident,lung cheung road,kwai chung,updated,lung cheung road lookout,
3505,2020-05-06 08:46:00,part of the lanes of texaco road both bounds near tai wo hau road which were closed due to traffic accident are re-opened to all traffic. ,traffic accident,texaco road,,updated,tai wo hau road,
3506,2020-05-06 08:48:00,the fast lane of lung cheung road kwai chung bound near lung cheung road lookout which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,lung cheung road,kwai chung,updated,lung cheung road lookout,
3507,2020-05-06 09:22:00,"due to vehicle breakdown , the fast lane of tsing long highway (ting kau bridge) kowloon bound is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,tsing long highway (ting kau bridge),kowloon,new,,
3508,2020-05-06 09:33:00,the fast lane of tsing long highway (ting kau bridge) kowloon bound which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tsing long highway (ting kau bridge),kowloon,updated,,
3509,2020-05-06 10:18:00,"due to traffic accident , the fast lane of kwun tong by-pass yau tong bound near hoi bun road park is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,kwun tong by-pass,yau tong,new,hoi bun road park,
3510,2020-05-06 10:44:00,the fast lane of kwun tong by-pass yau tong bound near hoi bun road park which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,kwun tong by-pass,yau tong,updated,hoi bun road park,
